First Author§Year of Publication§Title§Target§Country§Central Estimate ($2018)§Unit§DOI or URL
Epstein, P.R.§2011§Full cost accounting for the life cycle of coal§Coal§USA§20.886 §US¢/kWh§10.1111/j.1749-6632.2010.05890.x
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§ITA§4.631 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Oil§ITA§8.965 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Hydro§ITA§0.404 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Waste Incineration§ITA§14.902 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Coal§NLD§11.103 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§NLD§4.275 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Nuclear§NLD§0.867 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§NLD§0.647 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§NLD§0.843 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§NOR§3.562 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§NOR§0.285 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Hydro§NOR§0.273 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Wind§NOR§0.178 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Coal§PRT§11.103 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§PRT§3.800 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§PRT§2.672 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§PRT§2.375 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Hydro§PRT§0.042 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Coal§SWE§7.540 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Biomass Power§SWE§0.404 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Hydro§SWE§0.430 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Coal§GBR§10.687 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Gas§GBR§3.871 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Oil§GBR§7.600 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
EC§2000§ExternE Externalities of energy, Volume 10: National implementation§Oil§GBR§8.371 §US¢/kWh§http://www.externe.info/externe_d7/sites/default/files/vol10.pdf
